"Hindi","English"
"में (mẽ)","in"
"है (hai)","is"
"हैं (ha͠i)","are"
"नहीं (nahī̃)","no"
"लिए (lie)","for"
"गया (gayā)","have gone"
"तथा (tathā)","and"
"अपने (apne)","Ours"
"कुछ (kuch)","some"
"साथ (sāth)","with"
"होता (hotā)","had"
"था (thā)","Was"
"दिया (diyā)","given"
"हुए (hue)","be"
"कोई (koī)","someone"
"रूप (rūp)","form"
"से (se)","from"
"मैं (ma͠i)","I"
"रहा (rahā)","live"
"हुआ (huā)","happen"
"बात (bāt)","talk"
"कहा (kahā)","said"
"समय (samay)","time"
"क्या (kyā)","what"
"अपनी (apnī)","your"
"होती (hotī)","had"
"प्रकार (prakār)","type"
"बहुत (bahut)","bvery"
"तरह (tarah)","kind"
"बाद (bād)","after"
"फिर (phir)","again"
"रहे (rahe)","are"
"द्वारा (dvārā)","through"
"अधिक (adhik)","more"
"रही (rahī)","doing"
"होने (hone)","having"
"एवं (evã)","and"
"हुई (huī)","be"
"थे (the)","were"
"उनके (unke)","her"
"थी (thī)","was"
"वाले (vāle)","having"
"चाहिए (cāhie)","need"
"दिन (din)","day"
"लेकिन (lekin)","but"
"काम (kām)","work"
"हूँ (hū̃)","(I) am"
"होते (hote)","was"
"इसके (iske)","its"
"उन्हें (unhẽ)","them"
"गये (gaye)","gone"
"कभी (kabhī)","ever"
"आदि (ādi)","etc"
"लोग (log)","people"
"बार (bār)","times"
"यहाँ (yahā̃)","here"
"दोनों (donõ)","both"
"उन्होंने (unhonne)","they"
"कार्य (kārya)","work"
"पास (pās)","near"
"वहाँ (vahā̃)","there"
"भारत (bhārat)","India"
"लिया (liyā)","took"
"प्राप्त (prāpt)","get"
"उनकी (unkī)","his"
"लोगों (logõ)","people"
"गयी (gayī)","gained"
"लगा (lagā)","felt"
"अन्य (anya)","other"
"होगा (hogā)","will happen"
"इसी (isī)","this"
"देश (deś)","country"
"यदि (yadi)","if"
"सभी (sabhī)","all"
"नाम (nām)","name"
"वर्ष (varṣ)","year"
"ऐसा (aisā)","like this"
"विकास (vikās)","development"
"अपना (apnā)","ours"
"ऐसे (aise)","such"
"दूसरे (dūsre)","second"
"हाथ (hāth)","hand"
"भाषा (bhāṣā)","language"
"मेरे (mere)","my"
"मैंने (mainne)","I"
"तुम (tum)","you"
"बीच (bīc)","between"
"वाली (vālī)","spongy"
"बड़े (baṛe)","ugly"
"प्रति (prati)","per"
"व्यक्ति (vyakti)","person"
"उनका (unkā)","them"
"लिये (liye)","for"
"इसलिए (islie)","so/hence"
"तीन (tīn)","three"
"इसका (iskā)","its"
"ऐसी (aisī)","such"
"विशेष (viśeṣ)","special"
"बड़ी (baṛī)","big"
"अथवा (athvā)","or"
"भाग (bhāg)","part"
"क्योंकि (kyoṅki)","because"
"सिंह (sĩh)","lion"
"ठीक (ṭhīk)","good"
"स्थिति (sthiti)","situation"
"परन्तु (parantu)","but"
"स्थान (sthān)","place"
"यही (yahī)","this"
"क्यों (kyõ)","why"
"गाँव (gā̃v)","village"
